City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Mattru,SL,73.62,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
544,Fort Pierce,US,78.03,scattered clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
545,Pingliang,CN,60.15,scattered clouds,35.5392,106.6861,North Gate Hostel
548,Sinnamary,GF,78.48,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
552,Touho,NC,75.25,few clouds,-20.7833,165.2333,Auberge Timay Evasion
554,Santa Cruz Cabralia,BR,75.43,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
559,Oyama,JP,68.83,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
560,Porto Walter,BR,71.51,moderate rain,-8.2686,-72.7439,Secretaria de saúde
561,Kutum,SD,68.61,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
562,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
564,Inirida,CO,71.47,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
566,Barcelos,PT,61.92,overcast clouds,41.5388,-8.6151,Hotel Do Terço
567,Zhicheng,CN,63.82,light rain,30.2956,111.5047,Wangjiang Building
568,Pedro Ii,BR,70.79,broken clouds,-4.4247,-41.4586,Opala Hotel
569,Tiruchchendur,IN,75.49,overcast clouds,8.4833,78.1167,Hotel Udhayam International
573,Sinjhoro,PK,73.47,clear sky,26.0303,68.809,adil Mobile shop
574,Algeciras,ES,64.17,broken clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
580,Gulu,UG,68.77,broken clouds,2.7746,32.299,ACHOLI INN
581,Dir,PK,62.38,clear sky,35.2058,71.8756,Sindh Hotal Dir
582,Alta Floresta,BR,70.38,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
584,Virginia Beach,US,65.01,light rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
586,Atar,MR,74.82,overcast clouds,20.5169,-13.0499,Oumou Elghoura
590,Govindgarh,IN,78.33,clear sky,27.5,76.9833,Manoj Rajput
591,Eyl,SO,79.74,scattered clouds,7.9803,49.8164,Amiin Hotel
