City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
259,Lorengau,-2.0226,147.2712,85.91,65,97,5.79,PG,overcast clouds
260,Kalmunai,7.4167,81.8167,85.46,67,65,3.74,LK,broken clouds
261,La Serena,-29.9078,-71.2542,54.91,94,75,2.3,CL,broken clouds
262,Manaus,-3.1019,-60.025,81.09,78,75,4.61,BR,broken clouds
263,Abu Samrah,35.3029,37.1841,61.95,58,97,8.72,SY,light rain
264,Kloulklubed,7.0419,134.2556,88.3,68,99,12.24,PW,overcast clouds
265,Saskylakh,71.9167,114.0833,-9.47,99,100,6.49,RU,overcast clouds
266,Panaba,21.2833,-88.2667,79.92,57,99,12.06,MX,overcast clouds
267,Cajamarca,-7.1638,-78.5003,54.03,88,88,4.83,PE,overcast clouds
268,Flinders,-34.5833,150.8552,87.21,32,0,14.0,AU,clear sky
269,Balabac,7.9868,117.0645,85.06,74,98,12.44,PH,light rain
270,Tuktoyaktuk,69.4541,-133.0374,26.6,100,90,4.61,CA,light snow
271,Ambon,-3.6954,128.1814,84.34,58,40,4.61,ID,scattered clouds
272,Havelock,34.8791,-76.9013,71.94,90,90,1.01,US,overcast clouds
273,Ambilobe,-13.2,49.05,81.82,67,21,2.24,MG,light rain
274,Aklavik,68.2191,-135.0107,25.63,94,99,4.32,CA,overcast clouds
275,Kapit,2.0167,112.9333,81.88,87,100,1.36,MY,overcast clouds
276,Goderich,43.7501,-81.7165,49.03,88,76,21.79,CA,broken clouds
277,Lahijan,37.2061,50.0029,51.49,77,94,2.33,IR,overcast clouds
278,Jeremie,18.65,-74.1167,78.26,76,52,3.74,HT,broken clouds
279,Pevek,69.7008,170.3133,1.35,93,100,4.03,RU,overcast clouds
280,Tibati,6.4667,12.6333,65.53,90,57,1.77,CM,broken clouds
281,Cabedelo,-6.9811,-34.8339,74.07,81,89,11.54,BR,overcast clouds
282,Borogontsy,62.6683,131.1683,22.3,89,100,7.34,RU,light snow
283,Gull Lake,50.1001,-108.4847,43.16,58,88,18.66,CA,overcast clouds
284,Apartado,7.883,-76.6259,74.93,99,100,4.5,CO,heavy intensity rain
285,Mopipi,-21.1833,24.8833,66.88,60,28,13.69,BW,scattered clouds
286,Buraydah,26.326,43.975,66.65,18,19,10.33,SA,few clouds
287,Fairbanks,64.8378,-147.7164,21.6,88,1,0.0,US,clear sky
288,Makakilo City,21.3469,-158.0858,77.32,72,1,4.61,US,clear sky
289,Valparaiso,-33.0393,-71.6273,56.84,76,0,4.61,CL,clear sky
290,Shangzhi,45.2167,127.9667,55.76,30,0,2.17,CN,clear sky
291,Parrita,9.5201,-84.3225,81.99,88,83,1.88,CR,broken clouds
292,Seoul,37.5683,126.9778,65.8,39,0,6.91,KR,clear sky
293,Shiraoi,42.55,141.35,52.57,66,96,8.77,JP,overcast clouds
294,Nichinan,31.6,131.3667,72.55,54,36,9.33,JP,scattered clouds
295,Linhares,-19.3911,-40.0722,68.95,91,38,2.77,BR,scattered clouds
296,Sangar,63.9242,127.4739,21.6,94,100,6.46,RU,light snow
297,Sibu,2.3,111.8167,86.31,70,40,3.0,MY,scattered clouds
298,Vanimo,-2.6741,141.3028,85.71,67,53,7.09,PG,broken clouds
299,Kahta,37.7855,38.6237,53.04,87,75,5.75,TR,broken clouds
300,Opuwo,-18.0607,13.84,71.02,38,72,4.74,NA,broken clouds
301,Lagoa,39.05,-27.9833,69.35,91,99,34.87,PT,overcast clouds
302,Labuhan,-6.8844,112.2051,88.14,60,100,6.67,ID,overcast clouds
303,Pandan,14.0453,124.1694,82.9,77,39,13.96,PH,scattered clouds
304,Saldanha,-33.0117,17.9442,59.05,92,77,12.1,ZA,broken clouds
305,Ixtapa,20.7,-105.2,80.22,85,25,2.3,MX,scattered clouds
306,Serebryanyy Bor,56.8,124.8,21.29,63,100,9.26,RU,overcast clouds
307,Presidencia Roque Saenz Pena,-26.7852,-60.4388,69.31,42,1,6.38,AR,clear sky
308,Taltal,-25.4,-70.4833,59.02,79,32,2.26,CL,scattered clouds
309,Tautira,-17.7333,-149.15,71.62,95,100,32.44,PF,very heavy rain
310,Maua,-23.6678,-46.4614,67.35,94,100,2.3,BR,overcast clouds
