City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Chara,RU,2021-10-27 04:27:45,56.9064,118.2631,30.85,52,24,4.94
272,Dakar,SN,2021-10-27 04:27:40,14.6937,-17.4441,77.88,75,77,10.83
273,Yadrin,RU,2021-10-27 04:27:46,55.9405,46.2062,34.77,80,100,10.69
274,Shakiso,ET,2021-10-27 04:27:46,5.75,38.9167,57.24,93,80,3.18
275,Upata,VE,2021-10-27 04:27:47,8.0086,-62.3989,73.18,98,73,3.2
276,Ngunguru,NZ,2021-10-27 04:27:47,-35.6167,174.5,71.17,75,100,11.16
277,Darnah,LY,2021-10-27 04:27:47,32.767,22.6367,68.36,73,1,8.19
278,Pontes E Lacerda,BR,2021-10-27 04:27:48,-15.2261,-59.3353,70.99,76,100,1.57
279,Weligama,LK,2021-10-27 04:27:20,5.9667,80.4167,79.07,77,88,6.49
280,Wasilla,US,2021-10-27 04:26:03,61.5814,-149.4394,32.95,81,40,0.0
281,Balve,DE,2021-10-27 04:27:48,51.3333,7.8667,54.09,97,100,6.85
282,Chihuahua,MX,2021-10-27 04:26:51,28.5,-106.0,62.11,51,0,37.04
283,Barra Do Garcas,BR,2021-10-27 04:27:49,-15.89,-52.2567,71.31,95,100,3.29
284,Salvador,SV,2021-10-27 04:27:49,13.8333,-88.9167,72.0,98,46,1.95
285,Hay River,CA,2021-10-27 04:27:50,60.8156,-115.7999,39.18,87,40,3.44
286,Saint Pete Beach,US,2021-10-27 04:27:50,27.7253,-82.7412,78.8,76,1,0.0
287,Katsina,NG,2021-10-27 04:27:50,12.9894,7.6006,79.23,28,86,6.91
288,Nkongsamba,CM,2021-10-27 04:27:51,4.9547,9.9404,64.85,96,83,1.21
289,Urumqi,CN,2021-10-27 04:27:51,43.801,87.6005,47.35,40,0,2.24
290,Bud,US,2021-10-27 04:27:51,39.447,-86.1758,43.32,93,0,4.92
291,Chokurdakh,RU,2021-10-27 04:27:52,70.6333,147.9167,-8.61,97,97,4.23
292,Walvis Bay,NA,2021-10-27 04:27:52,-22.9575,14.5053,59.09,88,78,14.97
293,Caraballeda,VE,2021-10-27 04:27:52,10.6112,-66.8522,78.87,100,88,2.3
294,Baruun-Urt,MN,2021-10-27 04:27:53,46.6806,113.2792,46.53,34,0,10.36
